Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Olivia Nelson-Ododa,CON,C,37,436,37,0,436,49,99,0.495,0,0,,49,99,0.495,27,41,0.659,30,93,8,14,21,29,63,125
Kia Nurse,LAS,G,40,810,40,27,810,102,263,0.388,53,160,0.331,49,103,0.476,46,58,0.793,17,64,53,19,1,49,72,303
Arike Ogunbowale,DAL,G,38,1466,38,38,1466,279,729,0.383,112,324,0.346,167,405,0.412,175,190,0.921,29,173,195,81,11,103,107,845
Nneka Ogwumike,SEA,F,37,1178,37,37,1178,252,493,0.511,30,74,0.405,222,419,0.53,85,97,0.876,69,281,86,69,20,50,84,619
Michaela Onyenwere,CHI,F,34,636,34,18,636,88,212,0.415,25,68,0.368,63,144,0.438,25,41,0.61,19,62,33,19,12,43,68,226
Charisma Osborne,PHO,G,2,10,2,0,10,1,2,0.5,0,0,,1,2,0.5,0,0,,0,1,1,0,0,2,1,2
Cheyenne Parker,ATL,F,25,492,25,11,492,83,187,0.444,3,14,0.214,80,173,0.462,62,70,0.886,31,121,37,21,9,52,60,231
Alissa Pili,MIN,F,22,138,22,0,138,19,45,0.422,9,27,0.333,10,18,0.556,6,11,0.545,6,27,5,5,2,19,29,53
Kelsey Plum,LVA,G,38,1291,38,38,1291,232,549,0.423,110,299,0.368,122,250,0.488,103,119,0.866,10,98,159,27,1,93,104,677
Aerial Powers,ATL,G,17,304,17,2,304,49,138,0.355,14,36,0.389,35,102,0.343,34,43,0.791,15,56,24,16,4,18,35,146
Angel Reese,CHI,F,34,1104,34,34,1104,164,419,0.391,3,16,0.188,161,403,0.4,131,178,0.736,172,446,63,44,16,75,119,462
DiDi Richards,WAS,G-F,19,198,19,7,198,20,49,0.408,0,4,0,20,45,0.444,6,14,0.429,10,29,13,2,4,7,15,46
Mercedes Russell,SEA,C,37,581,37,6,581,62,120,0.517,0,0,,62,120,0.517,21,33,0.636,26,110,29,22,9,26,43,145
Nyara Sabally,NYL,C,26,352,26,0,352,50,87,0.575,0,2,0,50,85,0.588,28,40,0.7,34,105,15,23,19,13,41,128
Satou Sabally,DAL,F,15,512,15,15,512,89,209,0.426,38,84,0.452,51,125,0.408,53,68,0.779,18,96,75,19,8,37,48,269
Karlie Samuelson,WAS,G,29,711,29,19,711,79,193,0.409,49,123,0.398,30,70,0.429,36,39,0.923,15,74,62,27,1,25,48,243
Katie Lou Samuelson,IND,F,37,672,37,15,672,51,146,0.349,33,100,0.33,18,46,0.391,24,25,0.96,17,85,51,12,9,18,53,159
Victaria Saxton,IND,F,9,23,9,0,23,3,9,0.333,1,4,0.25,2,5,0.4,1,2,0.5,0,3,0,0,0,1,4,8
Jacy Sheldon,DAL,G,40,931,40,26,931,81,210,0.386,30,97,0.309,51,113,0.451,25,27,0.926,27,82,99,23,12,63,101,217
Jaylyn Sherrod,NYL,G,10,37,10,0,37,7,14,0.5,2,6,0.333,5,8,0.625,3,6,0.5,2,3,5,3,1,2,4,19
Maddy Siegrist,DAL,F,27,644,27,13,644,106,210,0.505,10,37,0.27,96,173,0.555,33,43,0.767,43,90,27,10,10,15,33,255
Alanna Smith,MIN,F,39,1035,39,39,1035,147,312,0.471,47,118,0.398,100,194,0.515,54,72,0.75,61,219,124,53,57,76,119,395
NaLyssa Smith,IND,F,40,993,40,37,993,168,350,0.48,14,48,0.292,154,302,0.51,72,127,0.567,72,285,41,30,39,52,107,422
Stephanie Soares,DAL,C,22,175,22,3,175,10,34,0.294,2,12,0.167,8,22,0.364,2,2,1,18,47,10,2,8,12,18,24
Taylor Soule,MIN,F,2,3,2,0,3,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,1,0,0
Azura Stevens,LAS,F-C,20,493,20,19,493,71,178,0.399,28,80,0.35,43,98,0.439,22,27,0.815,20,140,38,17,18,36,39,192
Breanna Stewart,NYL,F,38,1243,38,38,1243,265,578,0.458,46,156,0.295,219,422,0.519,201,238,0.845,61,323,134,64,48,65,80,777
Kiah Stokes,LVA,C,39,717,39,29,717,20,62,0.323,9,40,0.225,11,22,0.5,6,9,0.667,23,184,28,21,33,15,68,55
Brittney Sykes,WAS,G,18,421,18,18,421,81,200,0.405,16,59,0.271,65,141,0.461,42,56,0.75,11,73,55,16,7,40,26,220
Stephanie Talbot,LAS,F,37,600,37,10,600,49,124,0.395,13,50,0.26,36,74,0.486,20,29,0.69,21,101,76,19,17,37,51,131
Diana Taurasi,PHO,G,36,1044,36,36,1044,172,430,0.4,86,258,0.333,86,172,0.5,108,126,0.857,13,137,122,22,10,68,92,538
Alyssa Thomas,CON,F,40,1297,40,40,1297,166,326,0.509,0,4,0,166,322,0.516,91,145,0.628,98,337,317,62,18,145,84,423
Kayla Thornton,NYL,F,40,810,40,11,810,77,203,0.379,45,126,0.357,32,77,0.416,22,26,0.846,39,103,27,29,9,23,56,221
Brianna Turner,CHI,F,27,253,27,2,253,16,26,0.615,0,0,,16,26,0.615,1,2,0.5,11,53,10,9,13,12,28,33
Sevgi Uzun,DAL,G,40,820,40,19,820,68,199,0.342,20,84,0.238,48,115,0.417,19,23,0.826,9,65,119,37,11,73,60,175
Courtney Vandersloot,NYL,G,31,692,31,31,692,81,182,0.445,18,67,0.269,63,115,0.548,17,31,0.548,13,81,149,25,15,56,53,197
Julie Vanloo,WAS,G,40,927,40,34,927,106,306,0.346,72,222,0.324,34,84,0.405,10,15,0.667,5,65,173,19,1,102,86,294
Victoria Vivians,SEA,G-F,35,447,35,15,447,41,123,0.333,22,69,0.319,19,54,0.352,6,9,0.667,19,69,29,13,7,20,42,110
Shatori Walker-Kimbrough,WAS,G,40,882,40,2,882,105,253,0.415,35,106,0.33,70,147,0.476,54,67,0.806,13,69,75,42,18,54,40,299
Kristy Wallace,IND,G,26,446,26,15,446,47,117,0.402,17,58,0.293,30,59,0.508,12,18,0.667,11,48,45,18,6,17,29,123
Erica Wheeler,IND,G,39,546,39,2,546,58,141,0.411,15,52,0.288,43,89,0.483,11,13,0.846,7,53,69,17,4,35,45,142
Sami Whitcomb,SEA,G,40,611,40,3,611,72,208,0.346,47,161,0.292,25,47,0.532,9,11,0.818,15,74,65,30,9,40,56,200
Courtney Williams,MIN,G,40,1061,40,40,1061,194,438,0.443,23,69,0.333,171,369,0.463,34,42,0.81,14,186,221,36,16,98,77,445
Elizabeth Williams,CHI,C-F,9,249,9,9,249,37,76,0.487,0,0,,37,76,0.487,16,24,0.667,25,63,14,15,15,15,19,90
Gabby Williams,SEA,F,12,348,12,11,348,50,104,0.481,10,31,0.323,40,73,0.548,14,19,0.737,9,48,44,20,3,17,21,124
Kiana Williams,SEA,G,13,45,13,0,45,4,16,0.25,3,9,0.333,1,7,0.143,0,0,,0,2,5,0,0,2,3,11
A'ja Wilson,LVA,C,38,1308,38,38,1308,385,743,0.518,19,60,0.317,366,683,0.536,232,275,0.844,79,451,88,68,98,48,67,1021
Jackie Young,LVA,G,37,1205,37,37,1205,201,467,0.43,70,208,0.337,131,259,0.506,111,128,0.867,26,161,197,37,8,78,92,583
Li Yueru,LAS,C,38,546,38,2,546,68,147,0.463,4,15,0.267,64,132,0.485,53,59,0.898,55,140,22,12,9,33,80,193
Cecilia Zandalasini,MIN,F,40,486,40,0,486,67,148,0.453,31,70,0.443,36,78,0.462,18,29,0.621,5,46,43,15,9,31,55,183
Rachel Banham,TOT,G,37,586,37,9,586,71,202,0.351,52,142,0.366,19,60,0.317,16,20,0.8,7,53,40,14,7,20,58,210
Morgan Bertsch,TOT,F,11,100,11,0,100,6,30,0.2,2,15,0.133,4,15,0.267,8,10,0.8,8,17,2,1,1,13,14,22
Monique Billings,TOT,F,37,844,37,14,844,107,230,0.465,3,14,0.214,104,216,0.481,57,71,0.803,65,213,53,27,19,65,84,274
Crystal Dangerfield,TOT,G,33,441,33,5,441,37,131,0.282,17,62,0.274,20,69,0.29,15,17,0.882,2,34,62,11,6,26,25,106
Queen Egbo,TOT,F-C,8,29,8,0,29,5,12,0.417,0,0,,5,12,0.417,2,2,1,3,10,0,3,1,0,4,12
Myisha Hines-Allen,TOT,F,40,747,40,11,747,120,244,0.492,18,50,0.36,102,194,0.526,55,66,0.833,42,187,102,26,4,56,81,313
Moriah Jefferson,TOT,G,23,185,23,0,185,9,42,0.214,4,19,0.211,5,23,0.217,9,10,0.9,3,9,30,8,0,8,17,31
Sika Koné,TOT,F,27,217,27,0,217,36,84,0.429,4,7,0.571,32,77,0.416,31,36,0.861,14,55,12,6,2,14,25,107
Marina Mabrey,TOT,G,40,1235,40,27,1235,214,518,0.413,98,259,0.378,116,259,0.448,49,69,0.71,22,174,162,45,17,94,104,575
Odyssey Sims,TOT,G,24,700,24,17,700,117,242,0.483,20,58,0.345,97,184,0.527,48,63,0.762,17,51,127,28,5,52,36,302
Sug Sutton,TOT,G,29,379,29,0,379,24,79,0.304,10,41,0.244,14,38,0.368,9,13,0.692,6,28,62,16,1,34,26,67
Celeste Taylor,TOT,G,22,327,22,4,327,21,62,0.339,6,30,0.2,15,32,0.469,10,18,0.556,6,28,28,15,10,22,22,58
Rachel Banham,CON,G,21,270,21,0,270,34,95,0.358,23,66,0.348,11,29,0.379,9,10,0.9,3,25,14,8,5,11,31,100
Morgan Bertsch,PHO,F,8,78,8,0,78,6,27,0.222,2,14,0.143,4,13,0.308,7,8,0.875,7,12,2,0,1,9,10,21
Monique Billings,DAL,F,24,609,24,12,609,84,177,0.475,1,7,0.143,83,170,0.488,41,51,0.804,45,159,46,15,13,51,59,210
Crystal Dangerfield,ATL,G,15,211,15,0,211,15,54,0.278,5,23,0.217,10,31,0.323,11,11,1,1,16,26,4,3,9,13,46
Queen Egbo,CON,F-C,3,7,3,0,7,0,5,0,0,0,,0,5,0,2,2,1,1,2,0,0,0,0,1,2
Myisha Hines-Allen,WAS,F,27,517,27,10,517,86,176,0.489,14,39,0.359,72,137,0.526,29,35,0.829,27,132,73,15,2,39,51,215
Moriah Jefferson,CON,G,9,61,9,0,61,6,16,0.375,3,9,0.333,3,7,0.429,4,4,1,0,2,6,6,0,2,8,19
